,b'ff-base',b'ff-s1',b'ff-s2',b'ff-s3',b'mf-base',b'mf-s1',b'mf-s2',b'mf-s3',b'rf-pf-mount',b'rf-base',b'rf-s1',b'rf-s2',b'rf-s3',b'pf-base',b'pf-s1',b'pf-s2',b'pf-s3',b't-mount',b't-base',b't-s1',b't-s2'
Torque,-0.7533875459791776,-0.034443112354767214,0.00024368165071580913,3.62417493632557e-05,-3.53678399110557e-05,-1.6118581295327223e-06,-1.7482346885400814e-06,-1.9305079439329828e-06,0.06975857063053462,-0.01680542454552744,0.024937917485793794,-0.0022247203051946195,-0.0005963342073182027,0.0013108388387959497,0.010765112118374616,0.0069590703999526556,0.001289054644578153,1.7798108843908924,0.00433305728348919,-0.001241330687125157,0.0004356856215772724
Position,0.20601570895709048,-0.02728607616458823,0.029437443541036088,0.004705300595151228,0.01602245353010943,0.00012931157800553524,-0.0001260164700767907,-8.886134353713221e-05,-0.049455076982527685,0.06618795686156881,-0.08947562063943613,0.19009618416168028,-0.053694362041739184,0.026943027763498693,-0.6653509180149545,0.5919664383358259,-0.15741539748927438,-0.14875507972352192,0.03899623989235917,0.004121486494798815,-0.002329376585643643
